split,label,count,proportion
all,adventure,461,0.06632139260538052
all,children_young_adult,388,0.05581930657459359
all,comedy_satire,233,0.03352035678319666
all,drama,1126,0.16199108042008345
all,general_fiction,903,0.1299093655589124
all,historical,1325,0.19062005466839305
all,mystery_crime,348,0.050064738886491156
all,nonfiction_essay,796,0.11451589699323839
all,poetry,384,0.05524384980578334
all,religious_philosophical,289,0.041576751546540065
all,romance,421,0.06056682491727809
all,speculative,277,0.03985038124010934
train,adventure,323,0.06639260020554985
train,children_young_adult,271,0.05570400822199383
train,comedy_satire,163,0.033504624871531344
train,drama,788,0.16197327852004112
train,general_fiction,632,0.12990750256937308
train,historical,927,0.19054470709146967
train,mystery_crime,244,0.05015416238437821
train,nonfiction_essay,557,0.1144912641315519
train,poetry,269,0.0552929085303186
train,religious_philosophical,202,0.04152106885919835
train,romance,295,0.06063720452209661
train,speculative,194,0.03987667009249743
dev,adventure,69,0.06615532118887824
dev,children_young_adult,59,0.05656759348034516
dev,comedy_satire,35,0.03355704697986577
dev,drama,169,0.16203259827420902
dev,general_fiction,136,0.13039309683604985
dev,historical,199,0.19079578139980824
dev,mystery_crime,52,0.04985618408437201
dev,nonfiction_essay,119,0.11409395973154363
dev,poetry,57,0.05465004793863854
dev,religious_philosophical,43,0.04122722914669223
dev,romance,63,0.06040268456375839
dev,speculative,42,0.040268456375838924
test,adventure,69,0.06615532118887824
test,children_young_adult,58,0.05560882070949185
test,comedy_satire,35,0.03355704697986577
test,drama,169,0.16203259827420902
test,general_fiction,135,0.12943432406519656
test,historical,199,0.19079578139980824
test,mystery_crime,52,0.04985618408437201
test,nonfiction_essay,120,0.11505273250239693
test,poetry,58,0.05560882070949185
test,religious_philosophical,44,0.04218600191754554
test,romance,63,0.06040268456375839
test,speculative,41,0.039309683604985615
